date,product_name,category,shelf_life_hours,day_of_week,weekend_flag,month,holiday_flag,promotion_flag,temperature_c,rainfall_mm,footfall,price,current_stock,produced_qty,qty_sold,waste_qty
2024-04-12,Pizza Slice,FastFood,24,4,0,4,1,0,10.2,4.3,446,5.0,33,142,142,0
2025-10-23,Coffee,Beverage,12,3,0,10,1,1,13.9,0.9,395,3.0,31,176,167,9
2025-07-14,Sandwich,Bakery,48,0,0,7,0,0,11.6,0.0,437,4.5,60,102,102,0
2025-04-29,Sandwich,Bakery,48,1,0,4,0,0,3.8,7.5,396,4.5,53,88,88,0
2024-02-04,Ice Cream,Dessert,72,6,1,2,0,0,14.9,9.1,489,4.0,102,126,124,2
2025-12-30,Pizza Slice,FastFood,24,1,0,12,1,1,23.2,3.7,423,5.0,89,145,143,2
2024-02-22,Bread,Bakery,48,3,0,2,0,0,10.1,3.5,384,2.5,44,160,141,19
2024-10-15,Sandwich,Bakery,48,1,0,10,0,0,7.4,7.4,339,4.5,97,113,92,21
2024-04-08,Pizza Slice,FastFood,24,0,0,4,0,1,10.7,2.7,408,5.0,99,135,135,0
2025-01-27,Salad,Healthy,24,0,0,1,0,0,8.1,7.2,404,5.5,32,105,82,23
2025-10-16,Sandwich,Bakery,48,3,0,10,0,1,29.4,6.3,367,4.5,71,128,128,0
2024-01-28,Pizza Slice,FastFood,24,6,1,1,0,1,27.6,3.7,451,5.0,106,152,152,0
2025-01-11,Sandwich,Bakery,48,5,1,1,0,1,-0.6,4.4,446,4.5,53,143,135,8
2025-01-08,Bread,Bakery,48,2,0,1,0,0,19.8,2.7,234,2.5,65,119,118,1
2025-11-29,Chicken Roll,Snack,24,5,1,11,1,0,17.4,2.0,636,3.5,62,198,188,10
2025-11-02,Ice Cream,Dessert,72,6,1,11,0,0,12.6,6.1,421,4.0,107,147,147,0
2025-05-25,Bread,Bakery,48,6,1,5,0,0,31.5,3.3,445,2.5,45,163,160,3
2024-12-11,Sandwich,Bakery,48,2,0,12,0,0,21.0,0.0,378,4.5,66,120,111,9
2024-05-30,Salad,Healthy,24,3,0,5,0,0,25.3,5.1,431,5.5,11,114,114,0
2024-10-30,Ice Cream,Dessert,72,2,0,10,0,1,7.9,7.8,427,4.0,12,120,116,4
2024-05-31,Ice Cream,Dessert,72,4,0,5,0,0,19.6,6.4,360,4.0,63,128,109,19
2025-12-20,Coffee,Beverage,12,5,1,12,0,0,12.7,0.0,516,3.0,16,181,181,0
2025-02-04,Bread,Bakery,48,1,0,2,0,0,8.4,0.0,402,2.5,36,140,129,11
2024-08-13,Coffee,Beverage,12,1,0,8,0,0,8.2,2.9,292,3.0,44,149,148,1
